,Model,Engine_type,Transmission,Km_Driven,prices,Power,Unit,Company,Model_name
0,2019,Petrol,Automatic,26755,72.5,1500.0,cc,Honda,Vezel 
1,2020,Hybrid,Automatic,9744,32.5,660.0,cc,Suzuki,Wagon R
2,2008,Petrol,Automatic,85000,29.8,1500.0,cc,Toyota,Corolla Axio
3,2018,Petrol,Manual,40000,33.25,1300.0,cc,Toyota,Corolla 
4,2020,Petrol,Automatic,23300,35.75,660.0,cc,Daihatsu,Mira 
5,2023,Petrol,Automatic,15200,42.0,1500.0,cc,Changan,Alsvin 
6,2014,Petrol,Automatic,88000,20.85,660.0,cc,Suzuki,Wagon R
7,2022,Petrol,Automatic,17369,53.0,1500.0,cc,Honda,BR-V 
8,2021,Petrol,Automatic,22989,73.0,1800.0,cc,Honda,Civic 
9,2006,Petrol,Automatic,41000,35.75,1600.0,cc,Honda,Civic Eagle
10,2017,Petrol,Manual,33000,32.65,1300.0,cc,Honda,City 
11,2017,Petrol,Manual,79000,26.0,1000.0,cc,Suzuki,Cultus 
12,2017,Petrol,Manual,86000,23.5,1000.0,cc,Suzuki,Cultus 
13,2013,Petrol,Automatic,52000,2.25,2700.0,cc,Toyota,Prado 
14,2014,Petrol,Automatic,86500,73.0,2700.0,cc,Toyota,Fortuner 
15,1997,Petrol,Automatic,150000,5.8,1000.0,cc,Subaru,Dex 
16,2020,Petrol,Automatic,44000,74.0,1500.0,cc,Honda,Civic 
17,2007,Petrol,Automatic,13708,17.5,1000.0,cc,Toyota,Passo 
18,2013,Hybrid,Automatic,134000,34.0,1500.0,cc,Toyota,Aqua 
19,2021,Petrol,Automatic,10000,37.5,659.0,cc,Nissan,Dayz 
20,2008,Petrol,Manual,150000,10.3,1000.0,cc,Suzuki,Cultus 
21,2006,Petrol,Manual,220000,6.9,1000.0,cc,Suzuki,Alto 
22,2019,Petrol,Automatic,1000,48.0,1600.0,cc,Toyota,Corolla 
23,1994,Petrol,Manual,150000,6.75,1500.0,cc,Honda,Civic 
24,2007,Petrol,Manual,200000,8.75,1000.0,cc,Suzuki,Alto 
25,2005,Petrol,Manual,100000,9.5,1000.0,cc,Suzuki,Cultus 
26,2002,Petrol,Manual,300000,12.25,1500.0,cc,Honda,Civic 
27,2003,Petrol,Manual,185000,8.3,1000.0,cc,Hyundai,Santro 
28,2020,Petrol,Automatic,27942,60.0,996.0,cc,Toyota,Raize 
29,2021,Petrol,Automatic,49000,67.0,2000.0,cc,KIA,Sportage 
30,2015,Hybrid,Automatic,72000,40.75,1500.0,cc,Toyota,Aqua 
31,2020,Petrol,Automatic,4500,37.5,660.0,cc,Honda,N One
32,2020,Petrol,Automatic,28000,40.0,996.0,cc,Toyota,Vitz 
33,2021,Petrol,Automatic,48500,65.75,1500.0,cc,MG,HS 
34,2017,Petrol,Automatic,76692,26.7,660.0,cc,Honda,N Wgn
35,2017,Petrol,Automatic,86412,50.0,1800.0,cc,Honda,Civic 
36,2022,Petrol,Automatic,34000,55.4,1500.0,cc,DFSK,Glory 580
37,2018,Petrol,Automatic,115000,39.5,1500.0,cc,Honda,City 5th
38,2020,Hybrid,Automatic,10945,55.5,1198.0,cc,Nissan,Note 
39,2022,Electric,Automatic,6500,51.0,20.0,kWh,Mitsubishi,EK X
40,2021,Petrol,Automatic,22989,73.0,1800.0,cc,Honda,Civic 
41,2006,Petrol,Automatic,41000,35.75,1600.0,cc,Honda,Civic Eagle
42,2018,Petrol,Manual,47000,34.8,1300.0,cc,Honda,City 5th
43,2015,Petrol,Manual,70000,17.0,1000.0,cc,Suzuki,Cultus 
44,2023,Petrol,Manual,16000,19.0,800.0,cc,Suzuki,Ravi 
45,2018,Petrol,Automatic,67000,35.5,1300.0,cc,Honda,City 
46,2012,Petrol,Manual,103000,10.75,1000.0,cc,Suzuki,Alto 
47,2020,Petrol,Manual,23000,3.15,1000.0,cc,Suzuki,Cultus 
48,2017,Petrol,Manual,33000,32.65,1300.0,cc,Honda,City 
49,2013,Petrol,Automatic,71000,24.75,1600.0,cc,Toyota,Corolla 
50,2017,Petrol,Manual,79000,26.0,1000.0,cc,Suzuki,Cultus 
51,2019,Petrol,Automatic,65000,24.75,660.0,cc,Suzuki,Alto 
